County/Region,State,Year,Average Value
Talbot,MD,2007,364390.9724454545
Essex,NY,2007,119217.3755727273
Seneca,NY,2007,116787.37507272727
Caroline,MD,2007,209486.75376363637
Dorchester,MD,2007,174528.07461818182
Schoharie,NY,2007,132609.59885454547
Garrett,MD,2007,232048.21886363637
Lewis,NY,2007,106825.34664545454
Somerset,MD,2007,145863.97814545452
Yates,NY,2007,158728.9219
Kent,MD,2007,263226.57116363634
Schuyler,NY,2007,130541.74417272727
Hamilton,NY,2007,154123.34503636364
Kings,NY,2008,468429.21763333335
Queens,NY,2008,486176.82909166673
New York,NY,2008,951317.3901999999
Suffolk,NY,2008,421149.64557500003
Bronx,NY,2008,467041.19725000014
Nassau,NY,2008,482124.84946666675
Montgomery,MD,2008,284018.24840833334
Westchester,NY,2008,570916.2255749999
Prince Georges,MD,2008,319991.116275
Erie,NY,2008,120347.1992333333
Baltimore,MD,2008,276198.72256666666
Monroe,NY,2008,127058.307525
Baltimore City,MD,2008,124732.7872666667
Anne Arundel,MD,2008,359801.8153916667
Richmond,NY,2008,414723.05864999996
Onondaga,NY,2008,123169.64580833334
Orange,NY,2008,279522.84219166666
Rockland,NY,2008,447296.9006333333
Howard,MD,2008,434250.598775
Albany,NY,2008,209954.15564166664
Dutchess,NY,2008,295894.6268666667
Frederick,MD,2008,334419.30627500004
Harford,MD,2008,302633.0275083334
Saratoga,NY,2008,237042.39335000003
Oneida,NY,2008,108811.9791833333
Niagara,NY,2008,95526.40267333332
Broome,NY,2008,107190.30543333333
Ulster,NY,2008,243244.11825000003
Carroll,MD,2008,332147.24042499997
Charles,MD,2008,352593.62452500005
Rensselaer,NY,2008,186717.72815833334
Schenectady,NY,2008,172705.371425
Washington,MD,2008,182781.99683750002
Chautauqua,NY,2008,78841.70223499999
Oswego,NY,2008,91172.88234833335
Jefferson,NY,2008,119417.741925
Saint Marys,MD,2008,337654.172625
Ontario,NY,2008,147406.108125
Saint Lawrence,NY,2008,79121.89959916667
Tompkins,NY,2008,158366.99089166668
Cecil,MD,2008,265682.88656666665
Wicomico,MD,2008,211466.27515
Putnam,NY,2008,388209.4895083333
Steuben,NY,2008,105255.10159166668
Calvert,MD,2008,368791.7749000001
Wayne,NY,2008,117639.03959166666
Chemung,NY,2008,83838.75805749999
Clinton,NY,2008,129639.953575
Sullivan,NY,2008,142069.13194166668
Cattaraugus,NY,2008,89585.31236833334
Cayuga,NY,2008,118347.60592500003
Allegany,MD,2008,89419.43815875001
Madison,NY,2008,131953.3463
Warren,NY,2008,192755.1953166667
Livingston,NY,2008,130326.850625
Columbia,NY,2008,212904.94495833336
Herkimer,NY,2008,103404.69919166667
Otsego,NY,2008,127407.34181666665
Genesee,NY,2008,118577.89829166666
Fulton,NY,2008,113615.450225
Worcester,MD,2008,279192.6487083333
Queen Annes,MD,2008,411245.84499166673
Tioga,NY,2008,119280.2354083333
Greene,NY,2008,168236.98813333336
Franklin,NY,2008,104078.601625
Chenango,NY,2008,96708.96134166665
