County/Region,Year,Average Value
Warren,2012,181649.75943333333
Livingston,2012,112979.71010833333
Columbia,2012,202084.87669166666
Washington,2012,131294.69517500003
Herkimer,2012,93394.89239333333
Otsego,2012,121263.7126333333
Genesee,2012,101278.79760833333
Fulton,2012,106980.25105833332
Montgomery,2012,101007.6264075
Tioga,2012,108482.27243333333
Greene,2012,160198.521925
Franklin,2012,96427.92636083334
Chenango,2012,89342.15172416666
Cortland,2012,107595.82060833334
Allegany,2012,67334.04760500001
Delaware,2012,127494.00147500001
Wyoming,2012,97754.772025
Orleans,2012,86271.82018416666
Essex,2012,137266.06668333334
Seneca,2012,99380.83472583334
Schoharie,2012,122304.73512499999
Lewis,2012,103311.35524999998
Yates,2012,142190.60379999998
Schuyler,2012,119415.92090833333
Hamilton,2012,148290.18649999998
Kings,2013,470265.71277272725
Queens,2013,444674.63723636366
New York,2013,1025483.4860272725
Suffolk,2013,355715.3631545455
Bronx,2013,353734.2835272727
Nassau,2013,428338.4089272728
Westchester,2013,486641.8726818182
Erie,2013,126367.66974545455
Monroe,2013,124959.85517272727
Richmond,2013,384730.02183636354
Onondaga,2013,120702.76785454544
Orange,2013,211376.15687272727
Rockland,2013,369745.2736
Albany,2013,198269.30579090907
Dutchess,2013,233962.67042727274
Saratoga,2013,238716.58446363636
Oneida,2013,106044.37690000002
Niagara,2013,102589.1281
Broome,2013,100233.24212636365
Ulster,2013,185837.29018181816
Rensselaer,2013,169238.75194545457
Schenectady,2013,156144.70553636362
Chautauqua,2013,82141.2505009091
Oswego,2013,97323.46848909091
Jefferson,2013,139760.9362909091
Ontario,2013,147945.59344545452
Saint Lawrence,2013,80987.88710181817
Tompkins,2013,180028.00350909095
Putnam,2013,291354.98441818176
Steuben,2013,95500.76497454545
Wayne,2013,108497.6488
Chemung,2013,95698.35267272727
Clinton,2013,118545.16291818181
Sullivan,2013,130017.73077272727
Cattaraugus,2013,77828.60443727275
Cayuga,2013,112349.94574545455
Madison,2013,119645.22871818184
Warren,2013,187300.6540181818
Livingston,2013,115066.6299181818
Columbia,2013,205384.74864545456
Washington,2013,132191.5869818182
Herkimer,2013,94675.88729454543
Otsego,2013,121287.41116363638
Genesee,2013,102697.14558181817
Fulton,2013,107295.90304545454
Montgomery,2013,98697.90344636362
Tioga,2013,111016.19459999999
Greene,2013,161816.36295454545
Franklin,2013,96868.73733636363
Chenango,2013,89905.39347454545
Cortland,2013,108027.78923636363
Allegany,2013,68142.79318272728
Delaware,2013,128102.43901818182
Wyoming,2013,98418.71619181818
Orleans,2013,85997.93539727273
Essex,2013,136641.38397272726
Seneca,2013,102934.6305909091
Schoharie,2013,122645.90147272726
Lewis,2013,107039.49302727272
Yates,2013,146573.80513636363
Schuyler,2013,121589.6799181818
Hamilton,2013,150752.0589181818
Kings,2014,521088.98426363635
Queens,2014,476847.7848818181
