"Data Source: DCJS, Uniform Crime Reporting File. Includes all reports received as of 8/7/2023.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate
Oswego,2017,118741,1980,1667.5,218,183.6,1,0.8,96,80.8,17,14.3,104,87.6,1762,1483.9,406,341.9,1282,1079.7,74,62.3
Oswego,2018,115754,2033,1756.3,188,162.4,2,1.7,78,67.4,21,18.1,87,75.2,1845,1593.9,264,228.1,1500,1295.9,81,70
Oswego,2019,116733,1891,1619.9,182,155.9,1,0.9,89,76.2,9,7.7,83,71.1,1709,1464,235,201.3,1390,1190.8,84,72
Oswego,2020,115839,1812,1564.2,196,169.2,0,0,79,68.2,21,18.1,96,82.9,1616,1395,240,207.2,1263,1090.3,113,97.5
Oswego,2021,118804,1640,1380.4,212,178.4,1,0.8,92,77.4,12,10.1,107,90.1,1428,1202,228,191.9,1104,929.3,96,80.8
Oswego,2022,118307,1575,1331.3,199,168.2,4,3.4,68,57.5,7,5.9,120,101.4,1376,1163.1,172,145.4,1110,938.2,94,79.5
Otsego,2000,63217,1032,1632.5,134,212,0,0,9,14.2,12,19,113,178.7,898,1420.5,247,390.7,634,1002.9,17,26.9
Otsego,2001,61789,910,1472.8,117,189.4,0,0,12,19.4,7,11.3,98,158.6,793,1283.4,201,325.3,570,922.5,22,35.6
Otsego,2002,62265,1150,1846.9,159,255.4,0,0,18,28.9,15,24.1,126,202.4,991,1591.6,223,358.1,736,1182,32,51.4
Otsego,2003,62176,1178,1894.6,133,213.9,0,0,23,37,11,17.7,99,159.2,1045,1680.7,311,500.2,714,1148.4,20,32.2
Otsego,2004,62316,1206,1935.3,129,207,1,1.6,18,28.9,10,16,100,160.5,1077,1728.3,291,467,758,1216.4,28,44.9
Otsego,2005,62608,1196,1910.3,112,178.9,4,6.4,14,22.4,18,28.8,76,121.4,1084,1731.4,254,405.7,798,1274.6,32,51.1
Otsego,2006,62914,1192,1894.6,146,232.1,2,3.2,31,49.3,15,23.8,98,155.8,1046,1662.6,247,392.6,778,1236.6,21,33.4
Otsego,2007,62542,1185,1894.7,100,159.9,1,1.6,15,24,7,11.2,77,123.1,1085,1734.8,347,554.8,716,1144.8,22,35.2
Otsego,2008,62469,1102,1764.1,86,137.7,0,0,10,16,6,9.6,70,112.1,1016,1626.4,292,467.4,703,1125.4,21,33.6
Otsego,2009,61976,1201,1937.8,140,225.9,0,0,18,29,18,29,104,167.8,1061,1712,324,522.8,719,1160.1,18,29
Otsego,2010,60905,1145,1880,126,206.9,0,0,13,21.3,10,16.4,103,169.1,1019,1673.1,269,441.7,723,1187.1,27,44.3
Otsego,2011,62539,1146,1832.5,119,190.3,1,1.6,6,9.6,12,19.2,100,159.9,1027,1642.2,252,402.9,751,1200.9,24,38.4
Otsego,2012,62251,983,1579.1,78,125.3,0,0,14,22.5,13,20.9,51,81.9,905,1453.8,186,298.8,694,1114.8,25,40.2
Otsego,2013,61617,835,1355.1,65,105.5,1,1.6,11,17.9,15,24.3,38,61.7,770,1249.7,177,287.3,579,939.7,14,22.7
Otsego,2014,61644,837,1357.8,51,82.7,0,0,2,3.2,8,13,41,66.5,786,1275.1,130,210.9,642,1041.5,14,22.7
Otsego,2015,60737,841,1384.7,78,128.4,2,3.3,42,69.2,6,9.9,28,46.1,763,1256.2,141,232.1,600,987.9,22,36.2
Otsego,2016,59929,779,1299.9,90,150.2,0,0,35,58.4,10,16.7,45,75.1,689,1149.7,113,188.6,564,941.1,12,20
Otsego,2017,59891,734,1225.6,93,155.3,4,6.7,45,75.1,2,3.3,42,70.1,641,1070.3,116,193.7,510,851.5,15,25
Otsego,2018,58672,719,1225.5,95,161.9,0,0,42,71.6,3,5.1,50,85.2,624,1063.5,108,184.1,502,855.6,14,23.9
Otsego,2019,59117,624,1055.5,100,169.2,1,1.7,41,69.4,4,6.8,54,91.3,524,886.4,62,104.9,445,752.7,17,28.8
Otsego,2020,58818,637,1083,75,127.5,0,0,30,51,7,11.9,38,64.6,562,955.5,80,136,458,778.7,24,40.8
Otsego,2021,59880,598,998.7,82,136.9,0,0,40,66.8,5,8.4,37,61.8,516,861.7,78,130.3,411,686.4,27,45.1
Otsego,2022,58332,607,1040.6,60,102.9,1,1.7,31,53.1,3,5.1,25,42.9,547,937.7,80,137.1,434,744,33,56.6
Putnam,2000,98909,1071,1082.8,53,53.6,1,1,5,5.1,8,8.1,39,39.4,1018,1029.2,200,202.2,761,769.4,57,57.6
Putnam,2001,95921,1099,1145.7,91,94.9,0,0,9,9.4,11,11.5,71,74,1008,1050.9,198,206.4,760,792.3,50,52.1
Putnam,2002,96658,1282,1326.3,73,75.5,1,1,7,7.2,11,11.4,54,55.9,1209,1250.8,271,280.4,864,893.9,74,76.6
Putnam,2003,98424,1188,1207,79,80.3,0,0,6,6.1,18,18.3,55,55.9,1109,1126.8,202,205.2,858,871.7,49,49.8
Putnam,2004,99742,1089,1091.8,77,77.2,0,0,10,10,8,8,59,59.2,1012,1014.6,197,197.5,778,780,37,37.1
Putnam,2005,100714,1112,1104.1,95,94.3,0,0,13,12.9,25,24.8,57,56.6,1017,1009.8,210,208.5,748,742.7,59,58.6
Putnam,2006,100776,963,955.6,93,92.3,1,1,3,3,25,24.8,64,63.5,870,863.3,194,192.5,646,641,30,29.8
Putnam,2007,100963,983,973.6,71,70.3,3,3,10,9.9,10,9.9,48,47.5,912,903.3,150,148.6,729,722,33,32.7
Putnam,2008,99894,1052,1053.1,83,83.1,2,2,6,6,13,13,62,62.1,969,970,201,201.2,736,736.8,32,32
