"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Strafford,"6,069,441","5,798,911","6,155,237","6,393,224",5,-4.5,6.1,3.9,2
Sullivan,"1,589,533","1,590,585","1,618,819","1,536,107",9,0.1,1.8,-5.1,9
,,,,,,,,,
New Jersey,"617,110,702","595,973,431","629,011,319","646,731,343",--,-3.4,5.5,2.8,--
Atlantic,"13,791,800","12,986,077","14,017,564","14,199,892",14,-5.8,7.9,1.3,12
Bergen,"79,736,564","76,718,191","80,606,535","81,577,758",1,-3.8,5.1,1.2,13
Burlington,"28,460,282","28,420,414","30,121,239","30,630,405",10,-0.1,6.0,1.7,11
Camden,"25,445,882","24,150,451","25,474,699","25,968,516",11,-5.1,5.5,1.9,10
Cape May,"5,335,222","5,221,427","5,557,387","5,466,023",18,-2.1,6.4,-1.6,19
Cumberland,"6,441,352","6,183,632","6,426,886","6,475,732",17,-4.0,3.9,0.8,17
Essex,"55,753,535","51,267,523","54,972,907","58,576,369",4,-8.0,7.2,6.6,1
Gloucester,"15,095,492","13,751,454","14,225,585","13,972,860",15,-8.9,3.4,-1.8,20
Hudson,"47,837,910","45,246,499","47,899,086","50,743,664",5,-5.4,5.9,5.9,2
Hunterdon,"7,693,523","7,301,371","7,564,419","7,633,049",16,-5.1,3.6,0.9,15
Mercer,"37,149,619","37,990,291","40,960,366","42,923,608",6,2.3,7.8,4.8,3
Middlesex,"63,259,457","61,809,078","66,328,634","67,931,037",2,-2.3,7.3,2.4,9
Monmouth,"37,066,082","36,197,778","38,647,190","39,884,507",8,-2.3,6.8,3.2,7
Morris,"55,919,858","54,816,037","57,825,665","60,488,017",3,-2.0,5.5,4.6,4
Ocean,"22,148,559","22,069,015","22,846,494","23,794,530",12,-0.4,3.5,4.1,5
Passaic,"22,228,330","20,440,349","21,466,037","21,669,571",13,-8.0,5.0,0.9,14
Salem,"5,089,933","5,466,909","5,990,899","5,245,517",19,7.4,9.6,-12.4,21
Somerset,"40,722,485","40,231,816","41,717,064","42,879,076",7,-1.2,3.7,2.8,8
Sussex,"5,107,444","4,818,120","4,995,896","5,026,777",20,-5.7,3.7,0.6,18
Union,"38,668,062","37,038,592","37,410,781","37,730,551",9,-4.2,1.0,0.9,16
Warren,"4,153,622","3,850,477","3,950,881","4,105,497",21,-7.3,2.6,3.9,6
,,,,,,,,,
New Mexico,"100,446,232","97,511,896","99,572,348","101,315,019",--,-2.9,2.1,1.8,--
Bernalillo,"38,143,805","37,555,635","39,405,632","40,199,025",1,-1.5,4.9,2.0,15
Catron,"81,711","92,088","91,048","106,036",30,12.7,-1.1,16.5,1
Chaves,"2,111,611","2,060,304","2,028,801","2,021,798",12,-2.4,-1.5,-0.3,25
Cibola,"625,561","635,166","602,156","583,681",21,1.5,-5.2,-3.1,32
Colfax,"444,333","442,868","447,875","448,905",24,-0.3,1.1,0.2,22
Curry,"3,090,482","3,100,993","3,086,968","3,173,046",8,0.3,-0.5,2.8,11
De Baca,"76,856","79,467","76,089","77,798",32,3.4,-4.3,2.2,13
Do�a Ana,"7,720,349","7,420,783","7,869,402","7,901,515",2,-3.9,6.0,0.4,21
Eddy,"7,375,068","6,986,478","6,227,554","6,123,644",4,-5.3,-10.9,-1.7,29
Grant,"1,097,692","1,002,805","1,142,178","1,203,851",14,-8.6,13.9,5.4,5
Guadalupe,"149,794","147,954","161,349","167,866",28,-1.2,9.1,4.0,8
Harding,"39,824","46,807","40,815","41,251",33,17.5,-12.8,1.1,19
Hidalgo,"208,394","202,419","200,800","191,612",27,-2.9,-0.8,-4.6,33
Lea,"6,814,461","6,421,688","5,858,935","6,105,243",5,-5.8,-8.8,4.2,7
Lincoln,"663,019","680,413","637,290","648,065",20,2.6,-6.3,1.7,16
Los Alamos,"2,294,179","2,378,689","2,518,249","2,737,205",10,3.7,5.9,8.7,2
Luna,"836,357","859,046","853,713","839,383",17,2.7,-0.6,-1.7,30
McKinley,"2,578,192","2,439,121","2,280,076","2,272,550",11,-5.4,-6.5,-0.3,23
Mora,"106,514","101,009","104,947","104,228",31,-5.2,3.9,-0.7,26
Otero,"2,717,292","2,757,489","2,833,927","2,878,269",9,1.5,2.8,1.6,17
Quay,"297,096","286,983","291,027","305,123",25,-3.4,1.4,4.8,6
Rio Arriba,"1,070,588","1,006,451","1,003,760","990,265",16,-6.0,-0.3,-1.3,28
Roosevelt,"675,299","645,521","666,509","708,693",18,-4.4,3.3,6.3,3
Sandoval,"3,810,561","3,658,802","3,750,354","3,874,694",7,-4.0,2.5,3.3,10
San Juan,"5,623,271","5,198,248","5,137,504","5,170,931",6,-7.6,-1.2,0.7,20
San Miguel,"682,772","622,449","653,900","663,880",19,-8.8,5.1,1.5,18
Santa Fe,"7,137,712","6,698,952","7,327,711","7,477,089",3,-6.1,9.4,2.0,14
Sierra,"291,685","309,728","310,298","301,184",26,6.2,0.2,-2.9,31
Socorro,"493,253","482,517","481,622","494,458",23,-2.2,-0.2,2.7,12
Taos,"1,009,373","920,747","1,013,338","1,049,254",15,-8.8,10.1,3.5,9
Torrance,"394,949","426,309","497,109","525,445",22,7.9,16.6,5.7,4
Union,"160,281","163,389","159,542","158,993",29,1.9,-2.4,-0.3,24
Valencia,"1,565,097","1,554,621","1,632,158","1,618,116",13,-0.7,5.0,-0.9,27
,,,,,,,,,
New York,"1,709,750,685","1,650,567,241","1,724,472,246","1,763,524,631",--,-3.5,4.5,2.3,--
Albany,"32,999,927","32,153,712","34,560,195","35,344,278",10,-2.6,7.5,2.3,27
Allegany,"1,723,115","1,503,822","1,440,041","1,455,053",56,-12.7,-4.2,1.0,48
Bronx,"44,654,229","42,641,082","43,193,892","43,674,840",9,-4.5,1.3,1.1,46
Broome,"9,235,160","8,765,443","9,094,136","9,113,132",21,-5.1,3.7,0.2,53
Cattaraugus,"2,912,501","2,674,582","2,754,369","2,802,526",37,-8.2,3.0,1.7,36
Cayuga,"2,901,102","2,859,962","2,922,864","3,021,077",36,-1.4,2.2,3.4,13
Chautauqua,"4,826,497","4,417,196","4,533,912","4,624,016",30,-8.5,2.6,2.0,32
Chemung,"3,743,192","3,525,046","3,632,541","3,638,009",34,-5.8,3.0,0.2,55
Chenango,"2,332,107","2,145,803","2,122,158","2,150,842",43,-8.0,-1.1,1.4,43
Clinton,"3,688,995","3,515,075","3,551,838","3,651,035",33,-4.7,1.0,2.8,20
Columbia,"2,387,520","2,359,070","2,431,593","2,488,410",40,-1.2,3.1,2.3,25
Cortland,"1,779,631","1,734,855","1,756,948","1,780,982",51,-2.5,1.3,1.4,42
Delaware,"2,102,985","1,973,430","2,045,734","2,079,137",45,-6.2,3.7,1.6,39
Dutchess,"14,476,090","13,730,581","14,690,159","15,155,173",15,-5.1,7.0,3.2,17
Erie,"58,833,333","57,185,300","59,608,198","61,513,170",7,-2.8,4.2,3.2,16
Essex,"1,633,581","1,589,630","1,692,277","1,651,212",54,-2.7,6.5,-2.4,61
Franklin,"1,930,257","1,844,355","1,921,925","1,993,979",47,-4.5,4.2,3.7,11
Fulton,"1,903,639","1,830,046","1,811,181","1,834,847",50,-3.9,-1.0,1.3,45
Genesee,"2,471,004","2,338,823","2,384,296","2,438,446",41,-5.3,1.9,2.3,26
Greene,"2,296,907","2,273,615","2,366,047","2,784,197",38,-1.0,4.1,17.7,1
Hamilton,"231,065","227,567","223,186","227,776",62,-1.5,-1.9,2.1,31
Herkimer,"1,822,195","1,770,381","1,739,737","1,718,324",52,-2.8,-1.7,-1.2,60
Jefferson,"6,361,905","6,162,157","6,333,785","6,340,740",25,-3.1,2.8,0.1,56
Kings,"103,556,746","99,716,770","102,898,460","107,274,215",2,-3.7,3.2,4.3,6
Lewis,"1,106,714","1,052,892","1,095,018","1,180,637",58,-4.9,4.0,7.8,2
Livingston,"2,237,999","2,063,724","2,122,378","2,137,940",44,-7.8,2.8,0.7,51
Madison,"2,348,829","2,240,817","2,256,545","2,326,686",42,-4.6,0.7,3.1,18
Monroe,"48,455,221","46,524,210","48,488,895","49,325,244",8,-4.0,4.2,1.7,38
Montgomery,"1,954,214","1,860,695","1,877,330","1,954,212",48,-4.8,0.9,4.1,8
Nassau,"101,628,423","97,965,888","100,751,877","102,601,384",5,-3.6,2.8,1.8,34
New York,"745,306,426","722,111,514","766,795,323","780,965,530",1,-3.1,6.2,1.8,33
Niagara,"9,978,260","9,646,082","9,723,695","9,798,529",19,-3.3,0.8,0.8,50
Oneida,"11,125,823","10,838,100","11,005,641","11,097,174",17,-2.6,1.5,0.8,49
Onondaga,"31,894,110","30,946,468","31,746,331","31,913,695",11,-3.0,2.6,0.5,52
Ontario,"6,426,485","6,167,306","6,353,724","6,446,953",24,-4.0,3.0,1.5,41
Orange,"19,794,340","19,518,703","20,096,575","20,748,153",12,-1.4,3.0,3.2,15
Orleans,"1,384,416","1,351,700","1,390,217","1,328,192",57,-2.4,2.8,-4.5,62
Oswego,"6,777,407","6,657,196","6,903,610","6,827,708",23,-1.8,3.7,-1.1,58
Otsego,"2,691,556","2,582,149","2,604,486","2,579,245",39,-4.1,0.9,-1.0,57
Putnam,"3,933,428","3,687,072","3,844,149","3,971,847",31,-6.3,4.3,3.3,14
Queens,"105,747,903","95,835,393","99,156,555","103,324,799",4,-9.4,3.5,4.2,7
Rensselaer,"8,853,377","9,220,885","9,802,754","9,980,840",18,4.2,6.3,1.8,35
Richmond,"16,891,174","16,567,823","16,883,653","17,538,815",14,-1.9,1.9,3.9,10
Rockland,"17,565,261","17,045,445","18,207,178","18,445,913",13,-3.0,6.8,1.3,44
St. Lawrence,"4,714,866","4,662,546","4,719,282","4,820,196",27,-1.1,1.2,2.1,29
Saratoga,"12,417,181","11,513,882","12,203,500","12,639,040",16,-7.3,6.0,3.6,12
Schenectady,"8,914,297","8,720,610","9,235,873","9,427,097",20,-2.2,5.9,2.1,30
Schoharie,"1,067,472","971,293","963,860","974,589",60,-9.0,-0.8,1.1,47
Schuyler,"533,198","527,764","508,685","516,188",61,-1.0,-3.6,1.5,40
Seneca,"1,584,467","1,416,342","1,521,050","1,503,840",55,-10.6,7.4,-1.1,59
Steuben,"4,596,156","4,387,431","4,448,016","4,658,072",29,-4.5,1.4,4.7,5
Suffolk,"100,944,828","99,172,008","102,403,209","105,050,030",3,-1.8,3.3,2.6,22
Sullivan,"3,123,148","2,985,097","3,143,164","3,376,060",35,-4.4,5.3,7.4,3
Tioga,"1,789,612","1,643,696","1,619,333","1,658,460",53,-8.2,-1.5,2.4,24
Tompkins,"6,298,392","5,770,441","6,003,916","6,333,133",26,-8.4,4.0,5.5,4
Ulster,"7,630,419","7,196,814","7,429,326","7,659,189",22,-5.7,3.2,3.1,19
Warren,"4,558,773","4,432,596","4,654,786","4,664,386",28,-2.8,5.0,0.2,54
Washington,"1,932,759","1,941,973","2,020,092","2,055,239",46,0.5,4.0,1.7,37
Wayne,"4,108,553","3,794,962","3,825,288","3,925,854",32,-7.6,0.8,2.6,21
Westchester,"85,918,413","85,979,355","86,266,760","88,166,111",6,0.1,0.3,2.2,28
Wyoming,"1,778,533","1,730,340","1,818,142","1,862,189",49,-2.7,5.1,2.4,23
Yates,"960,245","931,062","1,029,388","1,069,392",59,-3.0,10.6,3.9,9
,,,,,,,,,
North Carolina,"568,475,554","564,794,363","597,316,094","609,058,244",--,-0.6,5.8,2.0,--
Alamance,"6,295,903","6,302,066","6,674,694","6,674,713",18,0.1,5.9,0.0,61
Alexander,"821,830","801,954","843,864","884,399",71,-2.4,5.2,4.8,7
Alleghany,"304,460","294,707","303,326","302,981",90,-3.2,2.9,-0.1,63
Anson,"792,045","726,544","761,818","836,697",72,-8.3,4.9,9.8,2
Ashe,"782,670","763,773","763,359","777,808",76,-2.4,-0.1,1.9,40
Avery,"612,114","607,124","631,571","630,170",80,-0.8,4.0,-0.2,69
Beaufort,"1,927,381","1,829,679","1,876,283","1,861,636",49,-5.1,2.5,-0.8,76
Bertie,"648,997","592,077","629,495","641,269",78,-8.8,6.3,1.9,41
Bladen,"1,375,685","1,337,207","1,415,802","1,413,795",63,-2.8,5.9,-0.1,65
Brunswick,"4,899,292","5,294,981","5,377,103","5,646,957",20,8.1,1.6,5.0,5
Buncombe,"14,943,297","13,915,210","14,891,710","15,336,616",7,-6.9,7.0,3.0,24
Burke,"2,581,404","2,523,368","2,598,472","2,615,833",37,-2.2,3.0,0.7,56
Cabarrus,"8,007,515","7,879,268","8,456,989","8,667,428",14,-1.6,7.3,2.5,31
Caldwell,"2,411,739","2,432,679","2,394,254","2,388,149",42,0.9,-1.6,-0.3,71
Camden,"159,234","157,238","174,140","171,978",99,-1.3,10.7,-1.2,82
Carteret,"2,558,719","2,389,267","2,559,203","2,554,588",39,-6.6,7.1,-0.2,67
Caswell,"356,915","338,852","346,378","331,195",88,-5.1,2.2,-4.4,93
Catawba,"8,957,162","8,669,478","9,060,348","9,241,514",12,-3.2,4.5,2.0,36
Chatham,"1,683,409","1,785,913","1,823,846","1,887,232",47,6.1,2.1,3.5,16
Cherokee,"830,136","795,848","795,760","822,038",75,-4.1,0.0,3.3,18
Chowan,"583,304","528,268","576,747","589,147",81,-9.4,9.2,2.1,35
Clay,"225,598","214,153","212,641","215,643",96,-5.1,-0.7,1.4,48
Cleveland,"4,387,772","4,172,634","4,212,383","4,463,065",25,-4.9,1.0,6.0,4
Columbus,"1,515,421","1,455,670","1,505,255","1,448,915",61,-3.9,3.4,-3.7,92
Craven,"4,990,551","4,895,490","5,083,471","4,984,208",23,-1.9,3.8,-2.0,85
Cumberland,"17,425,321","17,435,983","18,159,314","17,938,442",6,0.1,4.1,-1.2,81
Currituck,"778,200","754,018","832,050","824,134",74,-3.1,10.3,-1.0,77
Dare,"2,409,190","2,230,256","2,541,999","2,592,624",38,-7.4,14.0,2.0,37
Davidson,"4,874,377","4,759,825","4,953,078","5,013,955",22,-2.4,4.1,1.2,50
Davie,"1,391,760","1,357,307","1,418,651","1,416,538",62,-2.5,4.5,-0.1,66
Duplin,"1,984,333","1,934,612","2,186,078","2,126,936",44,-2.5,13.0,-2.7,88
Durham,"34,487,992","36,028,859","38,590,175","39,750,581",3,4.5,7.1,3.0,22
Edgecombe,"1,561,410","1,500,536","1,588,787","1,624,071",56,-3.9,5.9,2.2,34
Forsyth,"26,560,019","24,428,597","25,843,672","26,511,548",5,-8.0,5.8,2.6,29
Franklin,"1,623,074","1,714,504","1,754,881","1,784,003",53,5.6,2.4,1.7,43
Gaston,"7,667,281","7,426,942","7,896,842","8,021,211",16,-3.1,6.3,1.6,46
Gates,"199,897","201,187","200,571","184,446",97,0.6,-0.3,-8.0,99
Graham,"251,729","235,828","232,025","228,935",94,-6.3,-1.6,-1.3,83
Granville,"3,133,620","3,268,178","3,213,550","3,309,337",31,4.3,-1.7,3.0,25
Greene,"424,094","393,479","456,829","420,317",86,-7.2,16.1,-8.0,98
Guilford,"33,938,539","32,772,163","34,071,090","34,424,943",4,-3.4,4.0,1.0,53
Halifax,"1,465,168","1,397,977","1,429,210","1,403,492",64,-4.6,2.2,-1.8,84
Harnett,"2,627,942","2,580,007","2,722,946","2,716,268",36,-1.8,5.5,-0.2,70
Haywood,"1,938,334","1,890,998","1,919,581","1,957,137",46,-2.4,1.5,2.0,38
Henderson,"4,123,719","4,063,336","4,230,099","4,385,797",26,-1.5,4.1,3.7,14
Hertford,"821,357","809,369","834,081","824,643",73,-1.5,3.1,-1.1,80
Hoke,"1,063,668","1,141,910","1,109,627","1,162,881",68,7.4,-2.8,4.8,8
Hyde,"180,518","169,188","182,047","177,923",98,-6.3,7.6,-2.3,87
Iredell,"9,412,804","9,654,810","10,429,295","10,581,864",9,2.6,8.0,1.5,47
Jackson,"1,595,190","1,535,536","1,629,302","1,629,092",55,-3.7,6.1,0.0,62
Johnston,"6,983,478","7,246,607","7,501,701","7,726,394",17,3.8,3.5,3.0,23
Jones,"198,202","156,751","224,438","219,935",95,-20.9,43.2,-2.0,86
Lee,"2,703,479","2,708,057","2,784,443","2,815,923",34,0.2,2.8,1.1,52
Lenoir,"2,815,366","2,654,240","2,793,629","2,866,713",33,-5.7,5.3,2.6,28
Lincoln,"2,912,539","2,922,988","3,067,916","3,167,278",32,0.4,5.0,3.2,19
McDowell,"1,570,620","1,592,390","1,557,224","1,555,257",59,1.4,-2.2,-0.1,64
Macon,"1,649,123","1,634,528","1,568,812","1,616,103",57,-0.9,-4.0,3.0,21
Madison,"411,783","393,455","417,363","427,736",85,-4.5,6.1,2.5,32
Martin,"660,977","646,929","653,309","630,382",79,-2.1,1.0,-3.5,91
Mecklenburg,"117,410,315","120,357,222","127,496,734","129,565,466",1,2.5,5.9,1.6,44
Mitchell,"550,809","533,994","535,541","496,375",84,-3.1,0.3,-7.3,97
Montgomery,"998,415","1,029,145","1,051,406","1,093,302",69,3.1,2.2,4.0,11
Moore,"3,746,323","3,752,559","3,866,700","4,014,195",28,0.2,3.0,3.8,13
Nash,"4,799,853","4,956,566","5,135,445","5,119,148",21,3.3,3.6,-0.3,72
New Hanover,"13,647,543","13,686,505","14,802,668","15,236,927",8,0.3,8.2,2.9,26
Northampton,"539,948","505,780","529,271","505,790",83,-6.3,4.6,-4.4,94
Onslow,"8,565,803","8,669,727","9,098,987","9,039,244",13,1.2,5.0,-0.7,73
Orange,"9,113,497","8,786,949","9,307,949","9,678,520",10,-3.6,5.9,4.0,12
Pamlico,"297,029","281,222","297,395","287,878",91,-5.3,5.8,-3.2,90
Pasquotank,"1,529,224","1,528,868","1,588,603","1,609,108",58,0.0,3.9,1.3,49
Pender,"1,533,736","1,505,062","1,749,311","1,777,186",54,-1.9,16.2,1.6,45
Perquimans,"266,726","262,480","285,961","283,881",92,-1.6,8.9,-0.7,74
Person,"1,630,302","1,476,908","1,472,598","1,537,205",60,-9.4,-0.3,4.4,10
Pitt,"9,293,680","8,989,861","9,243,013","9,399,400",11,-3.3,2.8,1.7,42
Polk,"504,319","476,358","509,081","532,755",82,-5.5,6.9,4.7,9
Randolph,"4,190,073","4,038,917","4,171,891","4,187,682",27,-3.6,3.3,0.4,58
Richmond,"1,870,653","1,851,558","1,797,047","2,002,769",45,-1.0,-2.9,11.4,1
Robeson,"3,933,632","3,754,774","3,830,396","3,845,913",29,-4.5,2.0,0.4,57
Rockingham,"2,968,956","2,777,951","2,763,862","2,796,100",35,-6.4,-0.5,1.2,51
Rowan,"5,428,022","5,392,606","5,680,431","5,809,935",19,-0.7,5.3,2.3,33
Rutherford,"1,839,857","1,753,386","1,800,395","1,834,792",50,-4.7,2.7,1.9,39
Sampson,"1,844,660","1,718,039","1,893,869","1,801,829",51,-6.9,10.2,-4.9,96
Scotland,"1,176,241","1,111,197","1,155,541","1,184,957",67,-5.5,4.0,2.5,30
Stanly,"1,818,332","1,737,090","1,812,086","1,869,735",48,-4.5,4.3,3.2,20
Stokes,"1,069,065","984,480","1,111,689","1,208,306",66,-7.9,12.9,8.7,3
Surry,"2,510,976","2,398,708","2,546,133","2,526,710",40,-4.5,6.1,-0.8,75
Swain,"680,898","673,436","695,008","701,469",77,-1.1,3.2,0.9,54
Transylvania,"1,766,846","1,724,594","1,712,488","1,795,756",52,-2.4,-0.7,4.9,6
Tyrrell,"116,790","111,825","115,047","102,683",100,-4.3,2.9,-10.7,100
Union,"8,022,406","7,777,939","8,307,184","8,591,625",15,-3.0,6.8,3.4,17
Vance,"1,232,255","1,179,455","1,264,306","1,265,122",65,-4.3,7.2,0.1,60
Wake,"83,740,531","83,777,131","91,399,448","94,675,594",2,0.0,9.1,3.6,15
Warren,"303,391","297,914","320,034","316,794",89,-1.8,7.4,-1.0,78
Washington,"267,826","258,515","289,942","276,803",93,-3.5,12.2,-4.5,95
Watauga,"2,255,512","2,169,954","2,308,784","2,369,277",43,-3.8,6.4,2.6,27
Wayne,"4,868,486","4,745,323","4,947,218","4,950,904",24,-2.5,4.3,0.1,59
Wilkes,"2,400,563","2,348,265","2,437,381","2,459,893",41,-2.2,3.8,0.9,55
Wilson,"3,897,022","3,827,270","3,780,162","3,740,054",30,-1.8,-1.2,-1.1,79
Yadkin,"906,873","856,270","940,218","938,147",70,-5.6,9.8,-0.2,68
Yancey,"438,208","421,361","413,931","401,430",87,-3.8,-1.8,-3.0,89
,,,,,,,,,
North Dakota,"59,142,252","55,699,059","55,401,009","54,798,693",--,-5.8,-0.5,-1.1,--
Adams,"149,670","106,214","98,487","93,509",48,-29.0,-7.3,-5.1,41
Barnes,"649,638","625,382","621,060","637,845",17,-3.7,-0.7,2.7,28
Benson,"233,786","246,694","247,810","283,226",26,5.5,0.5,14.3,9
Billings,"175,514","253,032","169,438","105,082",47,44.2,-33.0,-38.0,52
Bottineau,"428,735","416,988","392,421","457,280",20,-2.7,-5.9,16.5,7
Bowman,"237,787","230,707","218,459","179,713",37,-3.0,-5.3,-17.7,49
Burke,"213,293","222,757","185,267","204,760",34,4.4,-16.8,10.5,12
Burleigh,"5,775,700","5,436,900","5,743,887","5,697,868",2,-5.9,5.6,-0.8,35
Cass,"13,322,527","12,866,335","13,498,593","13,496,845",1,-3.4,4.9,0.0,32
Cavalier,"335,030","389,653","332,266","412,145",22,16.3,-14.7,24.0,4
Dickey,"366,830","305,637","308,014","337,016",24,-16.7,0.8,9.4,15
Divide,"178,620","190,309","166,909","163,055",40,6.5,-12.3,-2.3,38
Dunn,"1,309,767","1,288,178","1,244,735","1,096,191",11,-1.6,-3.4,-11.9,48
Eddy,"132,167","124,559","113,333","124,381",44,-5.8,-9.0,9.7,14
Emmons,"143,717","186,487","196,808","220,095",32,29.8,5.5,11.8,10
Foster,"227,585","252,350","256,577","279,504",27,10.9,1.7,8.9,17
Golden Valley,"75,583","74,896","79,405","71,579",52,-0.9,6.0,-9.9,47
Grand Forks,"4,129,248","3,943,290","3,956,229","3,988,871",4,-4.5,0.3,0.8,30
Grant,"91,424","106,134","94,654","85,697",50,16.1,-10.8,-9.5,46
Griggs,"146,885","142,533","150,049","161,559",41,-3.0,5.3,7.7,19
Hettinger,"84,399","111,250","82,921","91,127",49,31.8,-25.5,9.9,13
Kidder,"121,196","128,831","140,786","138,682",43,6.3,9.3,-1.5,37
LaMoure,"291,889","253,932","233,671","259,698",29,-13.0,-8.0,11.1,11
Logan,"106,514","100,048","109,624","115,484",46,-6.1,9.6,5.3,24
McHenry,"240,176","260,203","284,277","257,407",30,8.3,9.3,-9.5,45
McIntosh,"146,390","147,435","162,227","149,185",42,0.7,10.0,-8.0,43
McKenzie,"4,009,001","3,588,977","3,266,054","2,614,429",6,-10.5,-9.0,-20.0,51
McLean,"778,093","790,449","825,132","750,849",15,1.6,4.4,-9.0,44
Mercer,"1,013,277","960,689","850,964","840,375",14,-5.2,-11.4,-1.2,36
Morton,"1,428,841","1,455,483","1,415,377","1,352,193",9,1.9,-2.8,-4.5,40
Mountrail,"1,858,377","1,787,470","1,745,646","1,427,599",8,-3.8,-2.3,-18.2,50
Nelson,"148,006","147,617","131,437","167,184",39,-0.3,-11.0,27.2,3
Oliver,"247,970","261,222","230,268","213,782",33,5.3,-11.8,-7.2,42
Pembina,"460,161","475,905","483,199","489,752",19,3.4,1.5,1.4,29
Pierce,"224,347","221,774","249,480","243,558",31,-1.1,12.5,-2.4,39
Ramsey,"579,505","598,427","597,033","650,936",16,3.3,-0.2,9.0,16
Ransom,"276,587","242,890","260,892","275,135",28,-12.2,7.4,5.5,23
Renville,"186,267","171,354","136,624","183,299",36,-8.0,-20.3,34.2,2
Richland,"831,790","736,863","869,053","868,857",13,-11.4,17.9,0.0,33
Rolette,"380,919","382,376","368,092","390,301",23,0.4,-3.7,6.0,22
Sargent,"786,701","728,163","889,373","1,017,119",12,-7.4,22.1,14.4,8
Sheridan,"60,512","56,704","74,193","79,834",51,-6.3,30.8,7.6,20
Sioux,"129,304","136,383","116,324","117,059",45,5.5,-14.7,0.6,31
Slope,"33,822","37,361","34,900","17,356",53,10.5,-6.6,-50.3,53
Stark,"3,031,261","2,645,773","2,463,064","2,538,708",7,-12.7,-6.9,3.1,27
Steele,"148,639","156,957","140,578","167,575",38,5.6,-10.4,19.2,6
Stutsman,"1,263,035","1,203,098","1,220,691","1,263,996",10,-4.7,1.5,3.5,26
Towner,"165,129","191,557","142,677","202,348",35,16.0,-25.5,41.8,1
Traill,"432,084","442,964","421,144","456,240",21,2.5,-4.9,8.3,18
Walsh,"549,227","600,707","573,243","603,819",18,9.4,-4.6,5.3,25
Ward,"4,141,106","3,844,114","3,720,200","3,718,991",5,-7.2,-3.2,0.0,34
Wells,"254,766","277,294","266,796","321,389",25,8.8,-3.8,20.5,5
Williams,"6,357,659","4,978,124","4,603,780","4,889,606",3,-21.7,-7.5,6.2,21
,,,,,,,,,
Ohio,"674,123,438","654,586,289","686,206,352","689,681,251",--,-2.9,4.8,0.5,--
Adams,"740,567","718,893","771,010","731,096",80,-2.9,7.2,-5.2,83
Allen,"7,724,166","7,584,144","8,363,968","8,256,775",15,-1.8,10.3,-1.3,54
Ashland,"1,764,454","1,789,002","1,838,348","1,794,586",60,1.4,2.8,-2.4,64
Ashtabula,"3,126,892","3,043,708","3,148,469","3,128,791",37,-2.7,3.4,-0.6,44
Athens,"2,128,548","2,028,511","2,032,732","2,040,989",53,-4.7,0.2,0.4,30
Auglaize,"2,298,758","2,177,537","2,521,080","2,613,150",41,-5.3,15.8,3.7,7
Belmont,"3,291,917","3,312,030","2,891,373","2,342,623",45,0.6,-12.7,-19.0,88
Brown,"845,253","827,464","890,505","873,259",77,-2.1,7.6,-1.9,58
Butler,"22,196,688","21,197,321","21,803,589","22,230,923",7,-4.5,2.9,2.0,11
Carroll,"1,184,491","1,151,942","1,069,279","1,107,409",73,-2.7,-7.2,3.6,9
Champaign,"1,184,965","1,202,992","1,235,588","1,197,748",71,1.5,2.7,-3.1,71
